trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,grating1.started,fixation.started,grating1_2.started,fixation_2.started,grating1_2.stopped,fixation_2.stopped,grating1.stopped,fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,
30,0,30,0,40.50701216701418,40.50701216701418,41.00584391699522,41.00584391699522,41.505743417015765,41.505743417015765,41.00584391699522,41.00584391699522,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
31,0,31,0,41.505743417015765,41.505743417015765,41.99872891700943,41.99872891700943,42.48982837499352,42.48982837499352,41.99872891700943,41.99872891700943,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
32,0,32,0,42.50445491701248,42.50445491701248,42.997454875003314,42.997454875003314,43.487395000003744,43.487395000003744,42.997454875003314,42.997454875003314,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
33,0,33,0,43.495786542014685,43.495786542014685,43.99588304199278,43.99588304199278,44.48694175001583,44.48694175001583,43.98752766699181,43.98752766699181,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
34,0,34,0,44.49558333301684,44.49558333301684,44.996444457996404,44.996444457996404,45.48812062499928,45.48812062499928,44.9870135000092,44.9870135000092,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
35,0,35,0,45.496588542009704,45.496588542009704,45.995312999992166,45.995312999992166,46.48759087501094,46.48759087501094,45.98734808299923,45.98734808299923,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
36,0,36,0,46.49627687499742,46.49627687499742,46.99677620799048,46.99677620799048,47.49203920800937,47.49203920800937,46.98736787500093,46.98736787500093,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
37,0,37,0,47.49203920800937,47.49203920800937,47.99637687500217,47.99637687500217,48.48683775000973,48.48683775000973,47.987572125013685,47.987572125013685,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
38,0,38,0,48.49530008301372,48.49530008301372,48.997098958003335,48.997098958003335,49.48790599999484,49.48790599999484,48.987423125014175,48.987423125014175,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
39,0,39,0,49.49585758300964,49.49585758300964,49.99671762500657,49.99671762500657,50.487376208009664,50.487376208009664,49.987804417003645,49.987804417003645,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
40,0,40,0,50.49505062500248,50.49505062500248,50.9946296249982,50.9946296249982,51.48752537500695,51.48752537500695,50.98737774998881,50.98737774998881,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
41,0,41,0,51.49550904199714,51.49550904199714,51.99662108300254,51.99662108300254,52.487848042015685,52.487848042015685,51.98742366701481,51.98742366701481,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
42,0,42,0,52.49675204200321,52.49675204200321,52.993366083013825,52.993366083013825,53.50473449999117,53.50473449999117,52.993366083013825,52.993366083013825,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
43,0,43,0,53.50473449999117,53.50473449999117,53.997912207996706,53.997912207996706,54.492438332992606,54.492438332992606,53.997912207996706,53.997912207996706,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
44,0,44,0,54.492438332992606,54.492438332992606,54.99666358300601,54.99666358300601,55.48767875001067,55.48767875001067,54.98790279199602,54.98790279199602,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
45,0,45,0,55.49702041700948,55.49702041700948,55.99726366699906,55.99726366699906,56.48764487501467,56.48764487501467,55.98765220801579,55.98765220801579,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
46,0,46,0,56.49707379200845,56.49707379200845,56.99478787500993,56.99478787500993,57.48745474999305,57.48745474999305,56.987356625002576,56.987356625002576,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
47,0,47,0,57.4961805420171,57.4961805420171,57.996394957997836,57.996394957997836,58.487373333016876,58.487373333016876,57.98707575001754,57.98707575001754,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
48,0,48,0,58.49486395801068,58.49486395801068,59.00493270799052,59.00493270799052,59.499031667015515,59.499031667015515,59.00493270799052,59.00493270799052,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
49,0,49,0,59.499031667015515,59.499031667015515,59.99701799999457,59.99701799999457,60.487511542014545,60.487511542014545,59.99701799999457,59.99701799999457,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
